City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,zeya,53.75,127.2667,-14.73,73,0,1.72,RU,1708651758
164,okhotsk,59.3833,143.3,-22.44,78,33,8.44,RU,1708651758
165,qaqortoq,60.7167,-46.0333,-20.47,92,17,3.13,GL,1708651758
166,quellon,-43.1167,-73.6167,8.0,95,3,1.19,CL,1708651758
167,hailey,43.5196,-114.3153,1.92,75,0,5.14,US,1708651758
168,totness,5.8833,-56.3167,26.48,78,85,6.42,SR,1708651758
169,kyaukse,21.6,96.1333,23.25,38,2,1.9,MM,1708651758
170,calama,-22.4667,-68.9333,15.27,58,0,8.23,CL,1708651759
171,muravlenko,63.7898,74.523,-18.77,97,87,4.56,RU,1708651759
172,wellington,-41.2866,174.7756,24.43,49,10,10.29,NZ,1708651687
173,longyearbyen,78.2186,15.6401,-8.09,79,40,7.2,SJ,1708651759
174,ribeira grande,38.5167,-28.7,12.65,77,78,3.58,PT,1708651759
175,goondiwindi,-28.55,150.3167,31.91,43,96,5.16,AU,1708651759
176,olonkinbyen,70.9221,-8.7187,-0.74,95,100,7.77,SJ,1708651759
177,mega,4.05,38.3,19.2,45,100,7.82,ET,1708651759
178,kirakira,-10.4544,161.9205,27.09,87,100,1.79,SB,1708651759
179,jijel,36.8205,5.7667,17.97,29,0,3.6,DZ,1708651759
180,kerikeri,-35.2268,173.9474,25.51,71,48,0.45,NZ,1708651760
181,kavaratti,10.5669,72.642,27.31,69,10,4.54,IN,1708651760
182,saudarkrokur,65.7461,-19.6394,-5.43,97,99,1.09,IS,1708651760
183,port mathurin,-19.6833,63.4167,27.29,86,100,7.09,MU,1708651760
184,hamilton,39.1834,-84.5333,10.69,93,100,5.66,US,1708651627
185,shimoda,34.6667,138.95,6.2,95,100,8.23,JP,1708651760
186,hangu,39.2489,117.7892,-1.98,36,100,2.66,CN,1708651760
187,calvinia,-31.4707,19.776,15.43,43,0,0.75,ZA,1708651760
188,hadibu,12.65,54.0333,24.43,73,94,4.93,YE,1708651760
189,kapuskasing,49.4169,-82.4331,2.05,69,100,7.72,CA,1708651760
190,hithadhoo,-0.6,73.0833,28.15,77,99,2.16,MV,1708651760
191,tynda,55.1667,124.7167,-23.99,93,31,1.23,RU,1708651761
192,maughold,54.2988,-4.3184,4.57,76,19,10.92,IM,1708651761
193,west island,-12.1568,96.8225,28.99,79,54,4.12,CC,1708651761
194,udachny,66.4167,112.4,-27.05,85,98,1.51,RU,1708651761
195,kudahuvadhoo,2.6708,72.8944,27.61,78,42,3.17,MV,1708651761
196,san antonio,29.4241,-98.4936,26.06,22,0,3.6,US,1708651609
197,buka,40.8108,69.1986,0.63,85,100,1.3,UZ,1708651761
198,east london,-33.0153,27.9116,21.28,87,100,4.33,ZA,1708651761
199,ladario,-19.0047,-57.6017,25.89,72,8,1.34,BR,1708651761
200,susanville,40.4163,-120.653,8.91,55,0,0.45,US,1708651761
201,yuzhno-kurilsk,44.0306,145.8556,-7.01,75,47,2.77,RU,1708651762
202,talcahuano,-36.7167,-73.1167,16.82,59,0,5.14,CL,1708651762
203,howard springs,-12.497,131.047,32.77,83,86,2.55,AU,1708651762
204,kangding,30.0513,101.9603,7.95,58,65,4.37,CN,1708651762
205,namibe,-15.1961,12.1522,24.56,79,100,2.58,AO,1708651762
206,port elizabeth,-33.918,25.5701,19.06,97,100,1.54,ZA,1708651762
207,sitka,57.0531,-135.33,4.94,81,100,4.63,US,1708651762
208,remire-montjoly,4.9167,-52.2667,25.02,88,0,1.03,GF,1708651762
209,staunton,38.1496,-79.0717,10.49,67,0,2.06,US,1708651514
210,lorengau,-2.0226,147.2712,29.41,73,100,2.25,PG,1708651762
